Temperature, Humidity, Pressure
34.13,16.09, 102.54
34.09,16.27, 102.53
34.13,16.21, 102.53
34.09,16.27, 102.53
34.09,16.28, 102.53
34.09,16.19, 102.53
34.13,16.10, 102.53
34.09,16.28, 102.53
34.13,16.22, 102.53
34.11,16.22, 102.53
34.09,16.29, 102.53
34.11,16.26, 102.53
34.11,16.25, 102.53
34.11,16.11, 102.53
34.11,16.09, 102.53
34.15,16.24, 102.53
34.11,16.23, 102.53
34.13,16.12, 102.53
34.09,16.11, 102.53
34.11,16.15, 102.53
34.11,16.10, 102.53
34.13,16.14, 102.53
34.13,16.04, 102.53
34.15,16.21, 102.53
34.15,16.19, 102.54
34.15,16.06, 102.53
34.15,16.05, 102.53
34.17,16.15, 102.53
34.13,16.16, 102.53
34.11,16.00, 102.53
34.18,16.02, 102.53
34.11,16.06, 102.54
34.11,16.20, 102.53
34.08,16.07, 102.53
34.06,16.23, 102.53
34.04,16.08, 102.53
33.99,16.18, 102.53
34.00,16.22, 102.53
34.04,16.15, 102.53
34.04,16.15, 102.53
34.08,16.26, 102.53
34.11,16.07, 102.53
34.08,16.02, 102.53
34.06,16.03, 102.52
34.11,16.05, 102.53
34.09,16.21, 102.53
34.13,16.25, 102.53
34.11,16.22, 102.53
34.09,16.25, 102.53
34.09,16.21, 102.53
